brand,image
Nike,Spirited
Nike,Aggressive
Nike,excited
Nike,Athlete
Adidas,Authentic
Adidas,leading
Adidas,practical
Adidas,Trust
NewBalance,Fashion
NewBalance,Retro
NewBalance,Lifestyle
NewBalance,forward
Asics,bright
Asics,happy
Asics,positive
Asics,selected
