trim,condition,isOneOwner,mileage,year,color,dispacement,fuel,region,soundSystem,wheelType,wheelSize,featureCount,price
550,Used,f,66000,2007,Black,5.5,Gasoline,Mid,Premium,unsp,unsp,32,36990
550,Used,t,90000,2007,Black,5.5,Gasoline,SoA,unsp,Alloy,unsp,45,26977
550,Used,f,22537,2008,White,5.5,Gasoline,ESC,unsp,Alloy,unsp,43,38890
550,Used,f,88984,2007,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,0,20995
550,Used,f,60985,2007,Silver,5.5,Gasoline,Pac,unsp,Alloy,unsp,19,28981
550,Used,f,62495,2008,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,55,26500
550,Used,f,88301,2008,Black,5.5,Gasoline,WSC,Harman Kardon,unsp,unsp,22,28991
550,Used,f,91091,2009,Black,5.5,Gasoline,Mtn,Harman Kardon,Alloy,unsp,43,27898
550,CPO,f,51792,2009,Silver,5.5,Gasoline,SoA,Premium,Alloy,unsp,71,41800
550,Used,f,69479,2007,Silver,5.5,Gasoline,Pac,unsp,unsp,unsp,17,24883
550,Used,f,83457,2007,Black,5.5,Gasoline,Pac,unsp,unsp,19,31,31999
550,Used,f,89511,2007,Silver,5.5,Gasoline,SoA,unsp,unsp,unsp,37,18998
550,Used,f,121000,2007,Green,5.5,Gasoline,WSC,unsp,unsp,unsp,0,26900
550,Used,f,124873,2007,White,5.5,Gasoline,Mid,Harman Kardon,unsp,unsp,68,18525
550,Used,f,82289,2008,Silver,5.5,Gasoline,Pac,unsp,unsp,unsp,2,26488
550,Used,f,87839,2007,White,5.5,Gasoline,Pac,unsp,unsp,unsp,31,29995
550,Used,f,96841,2007,Gray,5.5,Gasoline,SoA,Premium,unsp,unsp,58,21997
550,Used,f,38578,2007,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,14,26884
550,Used,f,67111,2009,White,5.5,Gasoline,WSC,Harman Kardon,Alloy,unsp,29,29994
550,Used,t,9239,2009,Black,5.5,Gasoline,WSC,unsp,unsp,unsp,4,39000
550,Used,f,113473,2007,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,58,28550
550,Used,f,102900,2007,Gray,5.5,Gasoline,Pac,unsp,unsp,unsp,0,21885
550,Used,f,67065,2008,Gray,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,31,30995
550,Used,t,131621,2007,Black,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,18,19881
550,Used,f,55280,2008,Black,5.5,Gasoline,SoA,Premium,Alloy,unsp,55,34999
550,Used,f,94700,2008,Blue,5.5,Gasoline,Pac,Premium,Alloy,unsp,61,27495
600,Used,t,120929,2008,Silver,5.5,Gasoline,Mid,unsp,Alloy,unsp,57,28950
600,Used,f,82794,2008,Gray,5.5,Gasoline,Mtn,unsp,unsp,unsp,24,34900
63,Used,t,59597,2008,Black,6.3,Gasoline,Mid,Harman Kardon,unsp,20,59,44695
550,Used,f,28199,2010,Silver,5.5,Gasoline,ESC,Premium,unsp,unsp,40,42625
550,CPO,f,30851,2011,Black,5.5,Gasoline,WSC,unsp,Alloy,unsp,57,55695
550,Used,f,30351,2011,White,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,56,52888
550,Used,t,20425,2011,Black,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,84,58995
550,Used,f,40063,2010,White,5.5,Gasoline,SoA,unsp,unsp,unsp,5,43981
550,Used,f,37274,2010,Silver,5.5,Gasoline,ESC,Harman Kardon,Alloy,18,74,38000
550,Used,f,51066,2011,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,60,44999
550,Used,t,27942,2010,White,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,88,45900
550,Used,f,59037,2010,Black,5.5,Gasoline,SoA,Premium,unsp,unsp,51,39800
550,Used,f,28752,2011,White,5.5,Gasoline,WSC,Harman Kardon,Alloy,unsp,77,56995
550,Used,f,49394,2010,Black,5.5,Gasoline,SoA,Premium,Alloy,unsp,67,33988
550,CPO,f,46307,2010,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,2,49888
550,Used,f,65096,2010,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,0,32907
550,Used,f,24922,2011,Silver,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,38,56971
550,Used,f,30714,2011,Black,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,56,45000
550,CPO,f,32905,2011,Black,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,73,55999
550,Used,f,56801,2010,Black,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,52,43900
550,Used,t,44726,2010,Black,5.5,Gasoline,ESC,unsp,Alloy,unsp,35,45994
550,Used,t,32886,2011,Silver,5.5,Gasoline,SoA,Premium,Alloy,18,72,38999
550,CPO,f,44023,2010,Silver,5.5,Gasoline,SoA,Premium,Alloy,unsp,81,41990
550,Used,t,41272,2010,White,5.5,Gasoline,WSC,Harman Kardon,Alloy,unsp,72,42750
550,CPO,f,31167,2011,Black,5.5,Gasoline,SoA,Premium,Alloy,unsp,84,48992
550,CPO,f,29025,2011,Black,5.5,Gasoline,SoA,Premium,Alloy,unsp,109,49992
550,Used,t,53735,2010,Silver,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,62,42499
550,Used,t,30325,2010,Black,5.5,Gasoline,WSC,unsp,unsp,unsp,58,51995
550,Used,t,27481,2011,Silver,5.5,Gasoline,SoA,unsp,unsp,unsp,0,56877
550,Used,f,59478,2011,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,22,47991
550,CPO,t,19827,2012,White,4.6,Gasoline,WSC,unsp,unsp,unsp,76,64981
550,New,f,9,2013,Silver,4.6,Gasoline,Pac,unsp,unsp,unsp,4,104095
550,Used,t,14186,2013,Black,4.6,Gasoline,SoA,Harman Kardon,Alloy,unsp,68,67900
550,New,f,210,2013,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,21,102755
550,Used,t,34842,2012,Black,4.6,Gasoline,ESC,unsp,unsp,20,41,46995
550,CPO,t,25004,2013,White,4.6,Gasoline,WSC,Premium,Alloy,unsp,69,64977
550,Used,f,9720,2013,White,4.6,Gasoline,SoA,Premium,Alloy,unsp,71,66899
550,Used,t,21171,2013,Silver,4.6,Gasoline,Pac,Premium,unsp,unsp,51,56888
550,CPO,t,38019,2012,Black,4.6,Gasoline,Mtn,unsp,Alloy,unsp,76,60999
550,CPO,f,30047,2012,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,66,59991
550,Used,f,20464,2013,Gray,4.6,Gasoline,SoA,Premium,Alloy,unsp,71,52999
550,CPO,t,9613,2012,Black,4.6,Gasoline,WSC,unsp,unsp,unsp,50,82789
550,New,f,6084,2013,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,2,106395
550,CPO,f,23192,2012,White,4.6,Gasoline,Pac,Harman Kardon,Alloy,unsp,81,66988
550,Used,t,15200,2012,Silver,4.6,Gasoline,Pac,Harman Kardon,Alloy,unsp,66,55995
550,Used,f,9018,2013,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,4,76895
550,CPO,t,26118,2013,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,84,61300
550,Used,t,18749,2012,Silver,4.6,Gasoline,SoA,Harman Kardon,unsp,unsp,77,62900
550,Used,t,6983,2013,Silver,4.6,Gasoline,SoA,Harman Kardon,Alloy,unsp,52,75800
550,Used,f,35939,2012,White,4.6,Gasoline,SoA,Harman Kardon,Alloy,unsp,74,52988
550,Used,f,15132,2013,White,4.6,Gasoline,ESC,Harman Kardon,unsp,unsp,51,65990
63,Used,f,53500,2011,Black,5.5,Gasoline,WSC,Premium,Alloy,unsp,78,64000
63,Used,f,28286,2010,Black,6.3,Gasoline,SoA,unsp,Alloy,unsp,81,59986
63,CPO,t,45045,2010,Black,6.3,Gasoline,Pac,Premium,Alloy,unsp,78,69888
63,CPO,t,39089,2010,Black,6.3,Gasoline,Pac,unsp,unsp,unsp,9,69897
63,Used,f,38512,2010,White,6.3,Gasoline,Pac,unsp,unsp,unsp,9,72900
63,CPO,f,28510,2010,Black,6.3,Gasoline,Pac,unsp,Alloy,unsp,79,66970
550,Used,f,107000,2007,White,5.5,Gasoline,SoA,Premium,Alloy,unsp,45,21900
550,Used,f,96772,2007,Silver,5.5,Gasoline,Mid,unsp,unsp,unsp,8,20950
550,Used,f,62720,2007,Gray,5.5,Gasoline,ENC,unsp,unsp,unsp,21,23999
550,Used,f,65875,2008,Gray,5.5,Gasoline,ENC,Harman Kardon,Alloy,19,37,30995
550,Used,f,48248,2007,Black,5.5,Gasoline,Mtn,unsp,unsp,unsp,26,28288
550,Used,t,65966,2008,White,5.5,Gasoline,Mid,Premium,Alloy,unsp,63,29997
550,Used,f,80040,2007,Beige,5.5,Gasoline,WSC,unsp,unsp,unsp,6,25950
550,Used,f,74912,2007,White,5.5,Gasoline,ENC,Harman Kardon,Alloy,unsp,68,25985
550,Used,f,95293,2007,White,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,104,28980
550,Used,f,39790,2008,Gray,5.5,Gasoline,Pac,Premium,Alloy,unsp,44,32900
550,Used,f,82461,2008,Black,5.5,Gasoline,ENC,unsp,Alloy,unsp,80,24432
550,Used,t,42459,2008,Silver,5.5,Gasoline,Mid,unsp,Alloy,unsp,49,32500
550,Used,f,95454,2008,Silver,5.5,Gasoline,ENC,Harman Kardon,Alloy,unsp,61,23139
550,Used,f,101971,2009,Black,5.5,Gasoline,Mid,unsp,Alloy,unsp,30,24975
550,Used,f,59042,2008,White,5.5,Gasoline,Mid,Premium,Alloy,unsp,68,34995
550,Used,f,108000,2008,Black,5.5,Gasoline,ESC,unsp,Alloy,19,40,25980
550,Used,f,78798,2008,Black,5.5,Gasoline,New,unsp,unsp,unsp,6,29900
550,Used,f,64459,2009,White,5.5,Gasoline,New,Harman Kardon,unsp,unsp,46,37877
550,Used,f,83009,2007,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,6,27789
550,Used,f,80020,2008,Gray,5.5,Gasoline,ESC,Premium,Alloy,unsp,53,26850
550,Used,f,78341,2008,Black,5.5,Gasoline,ENC,Premium,Alloy,unsp,72,31991
350,CPO,f,21929,2012,Black,3,Diesel,New,unsp,unsp,unsp,82,55994
350,CPO,f,17770,2012,Silver,3,Diesel,ENC,Premium,Alloy,unsp,72,60900
350,Used,f,29108,2012,Black,3,Diesel,SoA,unsp,unsp,unsp,5,54995
350,CPO,f,35004,2013,White,3,Diesel,New,Harman Kardon,unsp,unsp,83,59988
350,Used,t,66689,2012,Black,3,Diesel,Mid,Harman Kardon,Alloy,unsp,79,37995
350,CPO,f,19567,2012,Black,3,Diesel,WSC,Premium,Alloy,unsp,76,59977
550,CPO,t,11626,2010,White,5.5,Gasoline,SoA,unsp,unsp,unsp,43,49750
550,Used,f,36031,2011,Black,5.5,Gasoline,SoA,Premium,Premium,unsp,52,46994
550,Used,t,35309,2011,Black,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,70,49900
550,CPO,t,12974,2011,Black,5.5,Gasoline,Mid,unsp,Alloy,unsp,79,52991
550,Used,f,58101,2010,Silver,5.5,Gasoline,SoA,unsp,unsp,unsp,38,37995
550,Used,f,61053,2011,Silver,5.5,Gasoline,SoA,unsp,unsp,unsp,29,43295
550,CPO,f,33893,2011,Silver,5.5,Gasoline,Mid,Harman Kardon,Alloy,unsp,80,54948
550,Used,f,27128,2010,Black,5.5,Gasoline,ESC,unsp,unsp,unsp,42,47900
550,Used,f,57363,2010,unsp,5.5,Gasoline,Mid,Harman Kardon,Alloy,unsp,75,34890
550,Used,t,39315,2011,Gray,5.5,Gasoline,SoA,unsp,Alloy,unsp,30,42999
550,Used,t,42571,2011,Silver,5.5,Gasoline,SoA,Premium,Alloy,18,74,37999
550,Used,f,30948,2011,White,5.5,Gasoline,ENC,unsp,unsp,unsp,0,51659
550,Used,f,38920,2011,Gray,5.5,Gasoline,ESC,Premium,unsp,unsp,36,51995
550,Used,t,61005,2011,White,5.5,Gasoline,Mid,Harman Kardon,unsp,unsp,50,36000
550,Used,t,8556,2011,Silver,5.5,Gasoline,WSC,Harman Kardon,Alloy,18,61,47995
550,Used,f,65174,2010,Black,5.5,Gasoline,Mtn,unsp,Alloy,unsp,79,36990
550,CPO,f,39919,2010,Black,5.5,Gasoline,Mid,Premium,Alloy,unsp,75,49593
550,Used,f,47413,2010,Silver,5.5,Gasoline,Pac,unsp,unsp,unsp,9,35490
550,Used,f,49725,2011,Silver,5.5,Gasoline,SoA,unsp,Alloy,unsp,60,40935
550,Used,f,75134,2010,White,5.5,Gasoline,WSC,unsp,Alloy,unsp,65,29995
550,Used,f,29150,2011,Silver,5.5,Gasoline,ESC,unsp,Alloy,unsp,66,53800
550,Used,t,30490,2011,White,5.5,Gasoline,Mid,unsp,Alloy,unsp,22,42995
550,Used,f,21845,2012,Black,4.6,Gasoline,WNC,Premium,Alloy,unsp,51,72990
550,Used,t,29301,2013,Gray,4.6,Gasoline,Mid,Harman Kardon,Alloy,unsp,73,50995
550,Used,t,49079,2012,Black,4.6,Gasoline,SoA,Premium,Alloy,18,71,41999
550,Used,f,35667,2012,Black,4.6,Gasoline,ENC,Premium,Alloy,unsp,74,57900
550,Used,t,31921,2012,unsp,4.6,Gasoline,WNC,Premium,Alloy,unsp,96,63908
550,CPO,t,26430,2012,Blue,4.6,Gasoline,ENC,unsp,unsp,19,58,67900
550,CPO,t,14712,2013,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,81,62714
550,CPO,t,13727,2013,Silver,4.6,Gasoline,ENC,unsp,unsp,unsp,92,69500
550,Used,t,21804,2012,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,10,63574
550,CPO,f,9855,2012,Silver,4.6,Gasoline,Mid,Premium,Alloy,unsp,72,66991
550,CPO,f,32245,2013,Silver,4.6,Gasoline,SoA,Premium,Alloy,unsp,71,58950
550,CPO,f,29697,2013,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,71,64500
550,Used,f,26137,2012,Silver,4.6,Gasoline,Mid,Premium,Alloy,unsp,83,48995
550,CPO,f,12738,2012,Silver,4.6,Gasoline,New,unsp,Alloy,unsp,20,64995
550,Used,t,28966,2012,White,4.6,Gasoline,New,unsp,Alloy,unsp,42,67995
550,CPO,t,29624,2012,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,1,62895
550,CPO,f,20837,2013,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,20,77985
550,Used,f,48460,2012,Black,4.6,Gasoline,SoA,Bang Olufsen,Alloy,unsp,44,49900
550,CPO,f,26724,2012,Black,4.6,Gasoline,New,unsp,unsp,unsp,11,60998
550,CPO,f,21877,2013,Black,4.6,Gasoline,New,unsp,unsp,unsp,3,61998
550,Used,f,27464,2012,Silver,4.6,Gasoline,ENC,Premium,Alloy,unsp,71,56900
550,CPO,f,16734,2012,Silver,4.6,Gasoline,ENC,Premium,Alloy,unsp,72,65900
550,Used,f,47916,2013,Blue,4.6,Gasoline,Mid,unsp,Alloy,unsp,22,46995
550,CPO,t,12566,2013,Silver,4.6,Gasoline,Mid,Premium,Alloy,unsp,79,67991
550,CPO,f,12707,2013,Black,4.6,Gasoline,SoA,unsp,unsp,unsp,8,64995
550,Used,t,27366,2012,Black,4.6,Gasoline,SoA,Premium,Alloy,18,71,49999
550,CPO,f,17699,2012,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,74,51400
550,Used,f,20397,2012,Black,4.6,Gasoline,Mid,unsp,Alloy,unsp,48,63995
550,Used,f,21873,2013,Blue,4.6,Gasoline,SoA,Harman Kardon,Alloy,19,75,50999
550,CPO,f,10835,2012,Black,4.6,Gasoline,New,unsp,unsp,unsp,13,67998
550,CPO,t,15730,2013,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,77,71470
550,Used,t,21790,2013,Gray,4.6,Gasoline,WSC,Harman Kardon,Alloy,unsp,61,52995
550,CPO,t,42282,2012,Silver,4.6,Gasoline,Mid,unsp,unsp,unsp,59,59991
550,CPO,f,17513,2012,White,4.6,Gasoline,WSC,Harman Kardon,Alloy,unsp,77,59980
550,CPO,f,27592,2013,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,6,55484
550,CPO,f,11253,2013,Silver,4.6,Gasoline,SoA,Harman Kardon,Alloy,unsp,79,68989
550,Used,f,12488,2013,White,4.6,Gasoline,ESC,Harman Kardon,unsp,unsp,53,64800
400,Used,f,62010,2010,unsp,3.5,Hybrid,ENC,Harman Kardon,Alloy,unsp,71,33985
400,Used,f,40428,2010,Black,3.5,Hybrid,SoA,Harman Kardon,Alloy,unsp,77,40995
600,New,f,10,2015,Green,6,Gasoline,Mid,Premium,Alloy,unsp,61,189795
unsp,New,f,7,2015,unsp,unsp,unsp,Pac,Premium,Alloy,unsp,73,170605
63,New,f,10,2015,Silver,5.5,Gasoline,Mid,Premium,Alloy,unsp,59,170005
63,New,f,12,2015,Black,5.5,Gasoline,New,Premium,Alloy,unsp,76,160375
63,New,f,22,2014,Black,5.5,Gasoline,Mid,unsp,unsp,unsp,4,175985
63,New,f,1,2015,Black,5.5,Gasoline,Pac,unsp,Alloy,20,87,157255
63,New,f,13,2015,unsp,5.5,Gasoline,SoA,unsp,unsp,unsp,0,155375
63,New,f,13,2015,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,0,158515
63,New,f,1,2015,Black,5.5,Gasoline,Pac,Premium,Alloy,unsp,78,158515
63,New,f,30,2014,White,5.5,Gasoline,Mid,Premium,unsp,unsp,82,153520
63,New,f,14,2015,White,5.5,Gasoline,Mid,Premium,Alloy,20,77,163010
550,New,f,7,2014,White,4.6,Gasoline,Pac,unsp,unsp,unsp,55,121220
550,Used,f,12675,2014,White,4.6,Gasoline,SoA,unsp,Steel,18,71,114900
550,CPO,t,3795,2014,unsp,4.6,Gasoline,Pac,unsp,Alloy,unsp,25,89993
550,New,f,5,2015,White,4.6,Gasoline,Pac,unsp,unsp,unsp,1,110420
550,New,f,5,2015,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,0,111025
550,New,f,10,2015,unsp,4.6,Gasoline,WSC,unsp,unsp,18,85,115200
550,New,f,5,2015,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,69,110665
550,New,f,17,2014,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,0,115700
550,New,f,1,2015,White,4.6,Gasoline,Pac,unsp,unsp,unsp,0,100160
550,New,f,1,2015,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,68,111655
550,New,f,159,2015,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,60,114705
550,New,f,16,2015,Black,4.6,Gasoline,Pac,unsp,unsp,18,87,114320
550,New,f,5,2015,White,4.6,Gasoline,SoA,unsp,unsp,unsp,0,105620
550,New,f,11,2015,White,4.6,Gasoline,Pac,unsp,unsp,unsp,76,132420
550,New,f,5,2015,Black,4.6,Gasoline,Pac,unsp,unsp,19,18,116545
550,New,f,5,2015,Gray,4.6,Gasoline,Pac,unsp,unsp,unsp,1,132365
550,New,f,11,2015,Silver,4.6,Gasoline,WSC,unsp,unsp,unsp,2,129825
550,New,f,713,2014,Silver,4.6,Gasoline,ESC,Premium,Alloy,unsp,84,102360
550,New,f,12,2014,Black,4.6,Gasoline,WSC,unsp,unsp,unsp,0,110025
550,New,f,4,2014,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,0,106510
550,Used,t,14305,2015,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,58,89991
unsp,New,f,7,2015,Silver,unsp,unsp,SoA,unsp,unsp,unsp,0,134035
550,New,f,11,2015,unsp,4.6,Gasoline,SoA,Premium,Alloy,unsp,58,126500
550,New,f,1,2015,Blue,4.6,Gasoline,SoA,Premium,Alloy,unsp,68,104385
550,New,f,5212,2014,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,0,109515
550,New,f,147,2014,Red,4.6,Gasoline,Pac,unsp,unsp,unsp,72,107175
550,New,f,17,2015,Blue,4.6,Gasoline,SoA,unsp,unsp,unsp,0,112325
550,New,f,7,2015,Black,4.6,Gasoline,Pac,unsp,Alloy,19,82,125325
550,Used,f,4130,2014,Silver,4.6,Gasoline,SoA,unsp,unsp,18,114,109999
550,New,f,11,2014,Silver,4.6,Gasoline,Pac,Premium,Alloy,unsp,63,107375
550,New,f,5,2014,White,4.6,Gasoline,Pac,Premium,unsp,unsp,67,123830
550,New,f,8,2014,Silver,4.6,Gasoline,SoA,Premium,Alloy,unsp,71,98465
550,New,f,5,2015,Black,4.6,Gasoline,Pac,unsp,unsp,18,83,117840
550,New,f,8,2015,Silver,4.6,Gasoline,SoA,Premium,Alloy,unsp,66,108505
550,New,f,11,2014,Black,4.6,Gasoline,SoA,unsp,unsp,unsp,38,123915
550,New,f,13,2014,Silver,4.6,Gasoline,Pac,unsp,unsp,unsp,60,110390
550,New,f,5,2015,Black,4.6,Gasoline,Pac,unsp,unsp,19,18,116545
550,New,f,87,2014,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,0,105395
550,New,f,11,2014,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,57,100845
550,New,f,6,2015,Silver,4.6,Gasoline,Pac,unsp,unsp,unsp,22,113405
550,New,f,9,2015,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,48,112955
550,New,f,8,2015,Black,4.6,Gasoline,WSC,unsp,unsp,unsp,2,125455
