trim,condition,isOneOwner,mileage,year,color,dispacement,fuel,region,soundSystem,wheelType,wheelSize,featureCount,logprice
550,Used,f,70011,2007,Silver,5.5,Gasoline,SoA,Premium,Alloy,unsp,57,4.579680725
550,Used,f,109431,2008,White,5.5,Gasoline,SoA,Bose,unsp,unsp,99,4.439253724
550,Used,f,60000,2007,White,5.5,Gasoline,Pac,unsp,unsp,unsp,0,4.396199347
550,CPO,f,45175,2009,White,5.5,Gasoline,SoA,unsp,unsp,unsp,2,4.661812686
550,Used,f,66000,2007,Black,5.5,Gasoline,Mid,Premium,unsp,unsp,32,4.568084331
550,Used,t,90000,2007,Black,5.5,Gasoline,SoA,unsp,Alloy,unsp,45,4.430993652
550,Used,f,22537,2008,White,5.5,Gasoline,ESC,unsp,Alloy,unsp,43,4.589837943
550,Used,f,88984,2007,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,0,4.322115879
550,Used,f,60985,2007,Silver,5.5,Gasoline,Pac,unsp,Alloy,unsp,19,4.462113367
550,Used,f,62495,2008,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,55,4.423245874
550,Used,f,88301,2008,Black,5.5,Gasoline,WSC,Harman Kardon,unsp,unsp,22,4.462263196
550,Used,f,91091,2009,Black,5.5,Gasoline,Mtn,Harman Kardon,Alloy,unsp,43,4.44557307
550,CPO,f,51792,2009,Silver,5.5,Gasoline,SoA,Premium,Alloy,unsp,71,4.621176282
550,Used,f,69479,2007,Silver,5.5,Gasoline,Pac,unsp,unsp,unsp,17,4.39590274
550,Used,f,83457,2007,Black,5.5,Gasoline,Pac,unsp,unsp,19,31,4.505136406
550,Used,f,89511,2007,Silver,5.5,Gasoline,SoA,unsp,unsp,unsp,37,4.278707883
550,Used,f,121000,2007,Green,5.5,Gasoline,WSC,unsp,unsp,unsp,0,4.42975228
550,Used,f,124873,2007,White,5.5,Gasoline,Mid,Harman Kardon,unsp,unsp,68,4.267758217
550,Used,f,82289,2008,Silver,5.5,Gasoline,Pac,unsp,unsp,unsp,2,4.423049168
550,Used,f,87839,2007,White,5.5,Gasoline,Pac,unsp,unsp,unsp,31,4.477048866
550,Used,f,96841,2007,Gray,5.5,Gasoline,SoA,Premium,unsp,unsp,58,4.342363455
550,Used,f,38578,2007,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,14,4.429493887
550,Used,f,67111,2009,White,5.5,Gasoline,WSC,Harman Kardon,Alloy,unsp,29,4.477034387
550,Used,t,9239,2009,Black,5.5,Gasoline,WSC,unsp,unsp,unsp,4,4.591064607
550,Used,f,113473,2007,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,58,4.455606113
550,Used,f,102900,2007,Gray,5.5,Gasoline,Pac,unsp,unsp,unsp,0,4.340146551
550,Used,f,67065,2008,Gray,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,31,4.491291641
550,Used,t,131621,2007,Black,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,18,4.298438225
550,Used,f,55280,2008,Black,5.5,Gasoline,SoA,Premium,Alloy,unsp,55,4.544055636
550,Used,f,94700,2008,Blue,5.5,Gasoline,Pac,Premium,Alloy,unsp,61,4.439253724
600,Used,t,120929,2008,Silver,5.5,Gasoline,Mid,unsp,Alloy,unsp,57,4.461648568
600,Used,f,82794,2008,Gray,5.5,Gasoline,Mtn,unsp,unsp,unsp,24,4.542825427
63,Used,t,59597,2008,Black,6.3,Gasoline,Mid,Harman Kardon,unsp,20,59,4.650258942
